,luogo_nascita,data_nascita_y,Numero di emigranti,geometry,x,y,size
898,Sopramonte,1859,2,POINT (11.05845000000005 46.07121000000006),11.05845000000005,46.07121000000006,4
861,S. Massenza,1859,1,POINT (10.98268000000007 46.06950000000006),10.98268000000007,46.06950000000006,3
592,Mezzotedesco,1859,2,POINT (11.12026000000003 46.21603000000005),11.12026000000003,46.21603000000005,4
911,Sover,1859,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
150,Bedollo,1859,1,POINT (11.30083000000008 46.16479000000004),11.30083000000008,46.16479000000004,3
630,Palù,1860,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
852,Ravina,1860,3,POINT (11.10680000000002 46.03749000000005),11.10680000000002,46.03749000000005,5
571,Meano,1860,4,POINT (11.11715000000004 46.12270000000007),11.11715000000004,46.12270000000007,6
595,Miola,1860,5,POINT (11.60674000000006 46.29814000000005),11.60674000000006,46.29814000000005,7
1132,Trento,1860,8,POINT (11.11929000000003 46.07005000000004),11.11929000000003,46.07005000000004,10
259,Lana,1861,18,POINT (11.15107247700007 46.59709000000004),11.15107247700007,46.59709000000004,20
1190,Vigolo Vattaro,1861,5,POINT (11.19771000000003 46.00309000000004),11.19771000000003,46.00309000000004,7
225,Fraveggio,1862,4,POINT (10.98902000000004 46.08012000000008),10.98902000000004,46.08012000000008,6
166,Civezzano,1862,7,POINT (11.18236000000007 46.08852000000007),11.18236000000007,46.08852000000007,9
213,Fai,1862,3,POINT (11.06887000000006 46.17581000000007),11.06887000000006,46.17581000000007,5
246,Ischia,1862,3,POINT (11.24759000000006 46.03346000000005),11.24759000000006,46.03346000000005,5
633,Palù,1862,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
260,Lana,1862,18,POINT (11.15107247700007 46.59709000000004),11.15107247700007,46.59709000000004,20
851,Ravina,1863,3,POINT (11.10680000000002 46.03749000000005),11.10680000000002,46.03749000000005,5
906,Sover,1863,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
211,Fai,1863,3,POINT (11.06887000000006 46.17581000000007),11.06887000000006,46.17581000000007,5
1182,Vezzano,1863,3,POINT (11.00081000000006 46.07928000000004),11.00081000000006,46.07928000000004,5
222,Fornace,1863,1,POINT (11.20930000000004 46.11809000000005),11.20930000000004,46.11809000000005,3
245,Ischia,1863,3,POINT (11.24759000000006 46.03346000000005),11.24759000000006,46.03346000000005,5
15,Baselga,1864,12,POINT (11.24373000000003 46.12981000000008),11.24373000000003,46.12981000000008,14
867,Segonzano,1864,6,POINT (11.25872000000004 46.18782000000004),11.25872000000004,46.18782000000004,8
850,Povo,1864,1,POINT (11.15291000000008 46.06482000000005),11.15291000000008,46.06482000000005,3
912,Sover,1864,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
574,Meano,1864,4,POINT (11.11715000000004 46.12270000000007),11.11715000000004,46.12270000000007,6
1139,Trento,1864,8,POINT (11.11929000000003 46.07005000000004),11.11929000000003,46.07005000000004,10
263,Lana,1864,18,POINT (11.15107247700007 46.59709000000004),11.15107247700007,46.59709000000004,20
624,Palù,1865,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
1129,Toss,1865,2,POINT (11.07915000000003 46.27617000000004),11.07915000000003,46.27617000000004,4
899,Sopramonte,1865,2,POINT (11.05845000000005 46.07121000000006),11.05845000000005,46.07121000000006,4
596,Miola,1865,5,POINT (11.60674000000006 46.29814000000005),11.60674000000006,46.29814000000005,7
254,Lana,1865,18,POINT (11.15107247700007 46.59709000000004),11.15107247700007,46.59709000000004,20
167,Civezzano,1865,7,POINT (11.18236000000007 46.08852000000007),11.18236000000007,46.08852000000007,9
902,Sover,1866,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
1183,Vezzano,1866,3,POINT (11.00081000000006 46.07928000000004),11.00081000000006,46.07928000000004,5
147,Bedol,1866,2,POINT (11.30083000000008 46.16479000000004),11.30083000000008,46.16479000000004,4
163,Civezzano,1866,7,POINT (11.18236000000007 46.08852000000007),11.18236000000007,46.08852000000007,9
17,Baselga,1866,12,POINT (11.24373000000003 46.12981000000008),11.24373000000003,46.12981000000008,14
151,Calarino,1866,3,POINT (10.98331000000007 46.04464000000007),10.98331000000007,46.04464000000007,5
862,Segonzano,1866,6,POINT (11.25872000000004 46.18782000000004),11.25872000000004,46.18782000000004,8
564,Madrano,1866,3,POINT (11.21581000000003 46.08523000000008),11.21581000000003,46.08523000000008,5
1136,Trento,1867,8,POINT (11.11929000000003 46.07005000000004),11.11929000000003,46.07005000000004,10
915,Sover,1867,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
0,Albiano,1867,1,POINT (11.19347000000005 46.14470000000006),11.19347000000005,46.14470000000006,3
563,Madrano,1867,3,POINT (11.21581000000003 46.08523000000008),11.21581000000003,46.08523000000008,5
271,Lana,1867,18,POINT (11.15107247700007 46.59709000000004),11.15107247700007,46.59709000000004,20
864,Segonzano,1867,6,POINT (11.25872000000004 46.18782000000004),11.25872000000004,46.18782000000004,8
573,Meano,1867,4,POINT (11.11715000000004 46.12270000000007),11.11715000000004,46.12270000000007,6
620,Nogarè,1867,2,POINT (11.21134000000006 46.10405000000003),11.21134000000006,46.10405000000003,4
19,Baselga,1868,12,POINT (11.24373000000003 46.12981000000008),11.24373000000003,46.12981000000008,14
142,Baselga ,1868,2,POINT (11.24373000000003 46.12981000000008),11.24373000000003,46.12981000000008,4
210,Denno,1868,1,POINT (11.04819000000003 46.27457000000004),11.04819000000003,46.27457000000004,3
223,Foss,1868,1,POINT (10.65791455979807 46.28287462693451),10.65791455979807,46.28287462693451,3
597,Miola,1868,5,POINT (11.60674000000006 46.29814000000005),11.60674000000006,46.29814000000005,7
908,Sover,1868,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
1212,Villazzano,1868,3,POINT (11.14386000000007 46.04925000000003),11.14386000000007,46.04925000000003,5
785,Pergine,1868,9,POINT (11.24186000000003 46.06368000000003),11.24186000000003,46.06368000000003,11
11,Baselga,1869,12,POINT (11.24373000000003 46.12981000000008),11.24373000000003,46.12981000000008,14
853,Ravina,1869,3,POINT (11.10680000000002 46.03749000000005),11.10680000000002,46.03749000000005,5
780,Pergine,1869,9,POINT (11.24186000000003 46.06368000000003),11.24186000000003,46.06368000000003,11
212,Fai,1869,3,POINT (11.06887000000006 46.17581000000007),11.06887000000006,46.17581000000007,5
637,Palù,1869,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
241,Grumo,1870,2,POINT (11.13093000000003 46.19554000000005),11.13093000000003,46.19554000000005,4
264,Lana,1870,18,POINT (11.15107247700007 46.59709000000004),11.15107247700007,46.59709000000004,20
572,Meano,1870,4,POINT (11.11715000000004 46.12270000000007),11.11715000000004,46.12270000000007,6
236,Gardolo,1871,2,POINT (11.11154000000005 46.10862000000003),11.11154000000005,46.10862000000003,4
913,Sover,1871,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
1193,Vigolo Vattaro,1871,5,POINT (11.19771000000003 46.00309000000004),11.19771000000003,46.00309000000004,7
599,Miola,1871,5,POINT (11.60674000000006 46.29814000000005),11.60674000000006,46.29814000000005,7
1127,Terlago,1872,1,POINT (11.04420000000005 46.09814000000006),11.04420000000005,46.09814000000006,3
914,Sover,1872,16,POINT (11.31401000000005 46.22238000000004),11.31401000000005,46.22238000000004,18
1194,Vigolo Vattaro,1872,5,POINT (11.19771000000003 46.00309000000004),11.19771000000003,46.00309000000004,7
242,Grumo,1874,2,POINT (11.13093000000003 46.19554000000005),11.13093000000003,46.19554000000005,4
636,Palù,1888,14,POINT (11.13980000000004 46.15862000000004),11.13980000000004,46.15862000000004,16
